id;title;price;image
1;Garden furniture set;319.00;https://cdn.manomano.com/images/images_products/12794949/P/41944483_1.jpg
2;Designer Radiator;154.00;https://cdn.manomano.com/images/images_products/4029359/P/15033963_1.jpg
3;Sofa Set Furniture;490.99;https://cdn.manomano.com/images/images_products/385786/P/6653178_1.jpg
4;Cantilever Parasol;79.99;https://cdn.manomano.com/images/images_products/6399669/P/18152533_1.jpg
5;Pop Up Gazebo;59.90;https://cdn.manomano.com/images/images_products/9796964/P/18946012_1.jpg
6;Lounger Bed;292.99;https://cdn.manomano.com/images/images_products/385786/P/9145816_1.jpg
7;Garden Shed;299.99;https://cdn.manomano.com/images/images_products/9796964/P/18216841_1.jpg
8;Bathroom Mirror;94.99;https://cdn.manomano.com/images/images_products/6078297/P/12324289_1.jpg
9;Atlantic Bed Frame;84.00;https://cdn.manomano.com/images/images_products/15179065/P/36319672_1.jpg
10;Leather Chairs;139.99;https://cdn.manomano.com/images/images_products/22946957/P/53620322_1.jpg
